year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2077,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-25.92,-11.17,-10.86,3.69,9.91
2078,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-14.89,-5.8,-5.67,2.34,5.14
2078,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-34.98,-14.32,-13.39,3.06,11.5
2079,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-13.53,-4.43,-3.47,3.17,5.99
2079,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-26.4,-12.73,-13.18,-0.19,8.77
2080,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.36,-4.56,-4.2,0.39,4.04
2080,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-27.93,-12.5,-13.08,3.33,10.13
2081,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-14.48,-5.72,-4.91,1.27,4.82
2081,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-27.01,-10.87,-10.78,6.06,11.14
2082,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-20.5,-7.35,-6.64,1.88,6.35
2082,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-33.99,-13.12,-13.18,3.78,12
2083,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.08,-8.25,-8.17,-1.02,4.65
2083,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-31.76,-12.61,-13.57,5.41,11.52
2084,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.57,-6.47,-7.36,2.48,4.52
2084,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-30.42,-13.31,-13.72,4.11,11.13
2085,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.63,-6.43,-6.53,-0.03,5.34
2085,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-40.03,-14.93,-14.71,4.2,12.32
2086,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.33,-6.7,-7.29,3.73,6.39
2086,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-42.34,-16.96,-16.33,3.83,13.07
2087,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.19,-4.41,-5.06,2.95,4.81
2087,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-35.25,-16.64,-16.63,4.53,11.37
2088,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.72,-6.51,-6.76,0.48,5.02
2088,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-35.48,-16.03,-15.65,4.3,11.51
2089,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.21,-6.25,-6.25,-0.58,3.69
2089,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-40.1,-16.62,-17.36,1.7,13.44
2090,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-14.24,-5.49,-5.72,-0.46,4.63
2090,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-41.23,-15.77,-16.41,3.98,13.73
2091,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.08,-5.55,-5.65,5.18,6.62
2091,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-36.51,-16.39,-16.86,-0.99,12.03
2092,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.55,-8.12,-8.11,-0.08,5.89
2092,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-39.79,-17.21,-17.64,2.4,13.56
2093,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.84,-6.92,-7.16,-0.29,4.84
2093,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-36.54,-15.21,-15.99,5.06,12.52
