year,scenario,so,min_change,mean_change,median_change,max_change,sd_change,tooltip
2040,ssp585,Southern Ocean,-7.34,-2.39,-2.46,3.59,3.32,"Year: 2040
Mean change: -2.4%
SD: ±3.3%"
2041,ssp126,Southern Ocean,-4.76,-0.89,-1.82,2.92,2.83,"Year: 2041
Mean change: -0.9%
SD: ±2.8%"
2041,ssp585,Southern Ocean,-6.06,-2.06,-2.3,2.35,2.91,"Year: 2041
Mean change: -2.1%
SD: ±2.9%"
2042,ssp126,Southern Ocean,-5.56,-2.45,-2.66,2.81,2.47,"Year: 2042
Mean change: -2.5%
SD: ±2.5%"
2042,ssp585,Southern Ocean,-6.45,-1.61,-1.64,2.87,2.66,"Year: 2042
Mean change: -1.6%
SD: ±2.7%"
2043,ssp126,Southern Ocean,-6.2,-2.69,-2.81,3.48,3.08,"Year: 2043
Mean change: -2.7%
SD: ±3.1%"
2043,ssp585,Southern Ocean,-6.55,-2.72,-2.78,2.02,2.46,"Year: 2043
Mean change: -2.7%
SD: ±2.5%"
2044,ssp126,Southern Ocean,-6.39,-1.53,-1.42,4.25,3.28,"Year: 2044
Mean change: -1.5%
SD: ±3.3%"
2044,ssp585,Southern Ocean,-6.63,-1.41,-1.66,3.91,2.9,"Year: 2044
Mean change: -1.4%
SD: ±2.9%"
2045,ssp126,Southern Ocean,-6.71,-2.94,-3.63,3.71,3.07,"Year: 2045
Mean change: -2.9%
SD: ±3.1%"
2045,ssp585,Southern Ocean,-6.77,-2.57,-2.49,4.19,2.83,"Year: 2045
Mean change: -2.6%
SD: ±2.8%"
2046,ssp126,Southern Ocean,-8.61,-2.73,-2.76,2.36,4.02,"Year: 2046
Mean change: -2.7%
SD: ±4%"
2046,ssp585,Southern Ocean,-7.04,-1.41,-2.4,4.96,3.86,"Year: 2046
Mean change: -1.4%
SD: ±3.9%"
2047,ssp126,Southern Ocean,-7.76,-2.74,-2.93,3.33,3.71,"Year: 2047
Mean change: -2.7%
SD: ±3.7%"
2047,ssp585,Southern Ocean,-7.45,-0.4,-1.07,6.6,4.36,"Year: 2047
Mean change: -0.4%
SD: ±4.4%"
2048,ssp126,Southern Ocean,-8.14,-0.71,0.11,3.86,3.7,"Year: 2048
Mean change: -0.7%
SD: ±3.7%"
2048,ssp585,Southern Ocean,-7.76,-1.5,-1.54,2.7,3.1,"Year: 2048
Mean change: -1.5%
SD: ±3.1%"
2049,ssp126,Southern Ocean,-8.35,-2.23,-2.48,5.17,3.78,"Year: 2049
Mean change: -2.2%
SD: ±3.8%"
2049,ssp585,Southern Ocean,-7.8,-2.74,-2.83,2.21,3.06,"Year: 2049
Mean change: -2.7%
SD: ±3.1%"
2050,ssp126,Southern Ocean,-8.87,-2.46,-3.02,4.49,4.51,"Year: 2050
Mean change: -2.5%
SD: ±4.5%"
2050,ssp585,Southern Ocean,-7.81,-2.44,-2.96,2.75,3.15,"Year: 2050
Mean change: -2.4%
SD: ±3.1%"
2051,ssp126,Southern Ocean,-9.66,-2.98,-2.58,2.92,3.59,"Year: 2051
Mean change: -3%
SD: ±3.6%"
2051,ssp585,Southern Ocean,-7.99,-1.57,-3.01,7.43,4.88,"Year: 2051
Mean change: -1.6%
SD: ±4.9%"
2052,ssp126,Southern Ocean,-10.46,-1.43,-2.07,5.77,4.82,"Year: 2052
Mean change: -1.4%
SD: ±4.8%"
2052,ssp585,Southern Ocean,-8.34,-1.91,-2.44,3.14,3.45,"Year: 2052
Mean change: -1.9%
SD: ±3.5%"
2053,ssp126,Southern Ocean,-10.92,-1.53,-0.94,3.33,4.11,"Year: 2053
Mean change: -1.5%
SD: ±4.1%"
2053,ssp585,Southern Ocean,-8.66,-2.08,-2.96,3.25,3.64,"Year: 2053
Mean change: -2.1%
SD: ±3.6%"
2054,ssp126,Southern Ocean,-11.05,-2.31,-2.68,2.91,4.28,"Year: 2054
Mean change: -2.3%
SD: ±4.3%"
2054,ssp585,Southern Ocean,-8.93,-2.53,-3.07,3.78,3.62,"Year: 2054
Mean change: -2.5%
SD: ±3.6%"
2055,ssp126,Southern Ocean,-11.12,-1.96,-1.89,6.28,4.72,"Year: 2055
Mean change: -2%
SD: ±4.7%"
2055,ssp585,Southern Ocean,-9.24,-2.41,-3.27,3.05,3.87,"Year: 2055
Mean change: -2.4%
SD: ±3.9%"
2056,ssp126,Southern Ocean,-11.36,-2.17,-1.34,3.04,4.37,"Year: 2056
Mean change: -2.2%
SD: ±4.4%"
2056,ssp585,Southern Ocean,-9.43,-1.61,-1.95,7.22,4.73,"Year: 2056
Mean change: -1.6%
SD: ±4.7%"
2057,ssp126,Southern Ocean,-11.93,-3.41,-3.23,0.86,3.7,"Year: 2057
Mean change: -3.4%
SD: ±3.7%"
2057,ssp585,Southern Ocean,-9.5,-2.43,-3.29,3.55,4.06,"Year: 2057
Mean change: -2.4%
SD: ±4.1%"
2058,ssp126,Southern Ocean,-12.57,-2.97,-3,3.33,4.46,"Year: 2058
Mean change: -3%
SD: ±4.5%"
2058,ssp585,Southern Ocean,-9.37,-1.69,-2.25,5.64,4.31,"Year: 2058
Mean change: -1.7%
SD: ±4.3%"
2059,ssp126,Southern Ocean,-13,-2.24,-2.08,4.88,4.85,"Year: 2059
Mean change: -2.2%
SD: ±4.8%"
2059,ssp585,Southern Ocean,-9.31,-2.48,-2.98,5.12,4.24,"Year: 2059
Mean change: -2.5%
SD: ±4.2%"
2060,ssp126,Southern Ocean,-13.09,-2.75,-2.36,1.81,4.23,"Year: 2060
Mean change: -2.8%
SD: ±4.2%"
2060,ssp585,Southern Ocean,-9.35,-1.83,-2.55,5.21,4.44,"Year: 2060
Mean change: -1.8%
SD: ±4.4%"
2061,ssp126,Southern Ocean,-12.96,-2.89,-2.51,3.49,4.27,"Year: 2061
Mean change: -2.9%
SD: ±4.3%"
2061,ssp585,Southern Ocean,-9.4,-2.67,-2.48,5.41,4.02,"Year: 2061
Mean change: -2.7%
SD: ±4%"
2062,ssp126,Southern Ocean,-12.79,-1.04,-1.37,7.71,5.79,"Year: 2062
Mean change: -1%
SD: ±5.8%"
2062,ssp585,Southern Ocean,-9.54,-2.16,-3.56,5.31,4.86,"Year: 2062
Mean change: -2.2%
SD: ±4.9%"
2063,ssp126,Southern Ocean,-12.76,-3.68,-3,2,4.07,"Year: 2063
Mean change: -3.7%
SD: ±4.1%"
2063,ssp585,Southern Ocean,-9.85,-2.41,-3.33,5.22,4.41,"Year: 2063
Mean change: -2.4%
SD: ±4.4%"
2064,ssp126,Southern Ocean,-12.93,-3.6,-3.36,2.93,4.59,"Year: 2064
Mean change: -3.6%
SD: ±4.6%"
2064,ssp585,Southern Ocean,-10.32,-3.51,-3.78,4.85,4.48,"Year: 2064
Mean change: -3.5%
SD: ±4.5%"
2065,ssp126,Southern Ocean,-13.08,-2.66,-2.32,1.57,4.19,"Year: 2065
Mean change: -2.7%
SD: ±4.2%"
2065,ssp585,Southern Ocean,-10.99,-2.82,-2.94,6.97,5.69,"Year: 2065
Mean change: -2.8%
SD: ±5.7%"
