year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1967,historical,GPZiii,-41.13,0.36,-0.96,30.11,18.72,"Year: 1967
Mean change: 0.4%
SD: ±18.7%"
1967,historical,KRZ,-27.22,8.03,10.59,34.72,17.46,"Year: 1967
Mean change: 8%
SD: ±17.5%"
1967,historical,SOSS,-32.97,-6.96,-5.15,19.97,14.89,"Year: 1967
Mean change: -7%
SD: ±14.9%"
1967,historical,SRZ,-26.87,-1.21,-0.42,21.97,15.43,"Year: 1967
Mean change: -1.2%
SD: ±15.4%"
1968,historical,GPZi,-18.84,-2.62,-4.8,22.21,12.92,"Year: 1968
Mean change: -2.6%
SD: ±12.9%"
1968,historical,GPZii,-20.68,-1.58,-0.1,15.32,9.41,"Year: 1968
Mean change: -1.6%
SD: ±9.4%"
1968,historical,GPZiii,-41.76,-6.25,-4.43,20.42,16.75,"Year: 1968
Mean change: -6.2%
SD: ±16.8%"
1968,historical,KRZ,-26.8,-2.42,-3.52,22.15,12.34,"Year: 1968
Mean change: -2.4%
SD: ±12.3%"
1968,historical,SOSS,-11.62,4.05,-0.8,37.09,15.15,"Year: 1968
Mean change: 4%
SD: ±15.2%"
1968,historical,SRZ,-33.65,-2.28,0.42,23.47,19.2,"Year: 1968
Mean change: -2.3%
SD: ±19.2%"
1969,historical,GPZi,-15.83,1.29,1.84,24.09,12.97,"Year: 1969
Mean change: 1.3%
SD: ±13%"
1969,historical,GPZii,-10.61,-0.1,-1.96,17.59,8.13,"Year: 1969
Mean change: -0.1%
SD: ±8.1%"
1969,historical,GPZiii,-42.33,0.96,0.32,36.26,20.46,"Year: 1969
Mean change: 1%
SD: ±20.5%"
1969,historical,KRZ,-26.65,-2.72,-2.44,21.81,13.43,"Year: 1969
Mean change: -2.7%
SD: ±13.4%"
1969,historical,SOSS,-20.36,2.21,-0.66,34.62,13.84,"Year: 1969
Mean change: 2.2%
SD: ±13.8%"
1969,historical,SRZ,-24.57,14.33,19.23,56.14,24.78,"Year: 1969
Mean change: 14.3%
SD: ±24.8%"
1970,historical,GPZi,-15.51,-1.17,-2.69,25.54,12.69,"Year: 1970
Mean change: -1.2%
SD: ±12.7%"
1970,historical,GPZii,-11.46,0.73,-0.81,15.61,8.75,"Year: 1970
Mean change: 0.7%
SD: ±8.8%"
1970,historical,GPZiii,-42.98,-2.22,-3.08,27.71,19.47,"Year: 1970
Mean change: -2.2%
SD: ±19.5%"
1970,historical,KRZ,-26.69,0.96,4.84,24.33,13.73,"Year: 1970
Mean change: 1%
SD: ±13.7%"
1970,historical,SOSS,-18.46,4.15,-2.6,43.37,20.03,"Year: 1970
Mean change: 4.2%
SD: ±20%"
1970,historical,SRZ,-23.37,6.06,8.11,36.18,17.93,"Year: 1970
Mean change: 6.1%
SD: ±17.9%"
1971,historical,GPZi,-15.15,1.96,2.31,24.22,13.32,"Year: 1971
Mean change: 2%
SD: ±13.3%"
1971,historical,GPZii,-15.17,-2.09,-0.75,4.41,6.17,"Year: 1971
Mean change: -2.1%
SD: ±6.2%"
