year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2072,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.7,-3.86,-4.47,2.27,3.58
2072,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.69,-10.21,-11.18,-1.75,6
2073,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.67,-4.29,-4.89,1.54,3.19
2073,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.04,-8.82,-9.34,3.07,7.02
2074,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.25,-4.63,-5.04,-0.64,3.1
2074,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-19.35,-9.94,-11.07,2.05,6.69
2075,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.15,-3.87,-3.71,0.58,3.34
2075,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.71,-10.09,-11,2.55,6.06
2076,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.15,-2.14,-2.83,8.84,5.95
2076,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-21.01,-9.75,-10.71,9.7,8.58
2077,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.12,-4.48,-4.36,3.11,4.56
2077,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-19.7,-10.41,-11.34,1.14,6.71
2078,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.8,-5.83,-6.53,1.6,3.38
2078,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-21.54,-11.63,-12.05,1.45,6.74
2079,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.42,-3.91,-3.75,5.25,5.9
2079,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-21.19,-12.09,-13.48,0.27,6.72
2080,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.93,-4.61,-4.98,0.67,4.21
2080,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-20.44,-10.53,-10.53,1.87,6.91
2081,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.93,-4.26,-5.12,0.97,3.18
2081,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.73,-9.06,-9.66,2.76,6.81
2082,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.68,-5.9,-6.33,3.73,4.91
2082,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-23.35,-10.37,-11.82,4.96,8.37
2083,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.72,-7.28,-7.98,1.95,4.78
2083,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-22.76,-11.91,-13.91,2.07,7.39
2084,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.03,-7.16,-7.83,2.91,5.9
2084,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-23.55,-10.65,-12.94,5.33,8.77
2085,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.84,-6.61,-7.72,-0.88,4.07
2085,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-26.86,-12.25,-13.34,0.63,7.7
2086,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.74,-5.6,-5.36,1.33,4.4
2086,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-25.94,-13.79,-14.58,1.83,7.23
2087,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.91,-5.25,-5.44,4.16,5.19
2087,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-26.16,-14.34,-14.67,-0.95,6.99
2088,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.24,-6.56,-7.62,-0.83,4.02
2088,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-29.39,-14.04,-14.46,3.81,8.98
2089,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.13,-6.13,-6.2,1.7,4.08
2089,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-31.68,-15.39,-17.74,-0.81,9.2
2090,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.41,-6.64,-6.66,-1.16,3.47
2090,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-34.37,-15.81,-17.76,0.53,10.19
2091,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.13,-5.96,-7.6,3.17,5.5
