year,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,tooltip
2059,ssp585,-7.8,-0.02,-0.92,10.43,5.09,Atlantic,"Year: 2059
Mean change: 0%
SD: ±5.1%"
2060,ssp126,-13.46,-1.2,-0.87,4.86,4.88,Atlantic,"Year: 2060
Mean change: -1.2%
SD: ±4.9%"
2060,ssp585,-7.69,1,0.02,12.28,5.44,Atlantic,"Year: 2060
Mean change: 1%
SD: ±5.4%"
2061,ssp126,-13.41,-1.63,-1.86,4.01,4.75,Atlantic,"Year: 2061
Mean change: -1.6%
SD: ±4.8%"
2061,ssp585,-7.78,-0.39,-1.36,10.7,5.01,Atlantic,"Year: 2061
Mean change: -0.4%
SD: ±5%"
2062,ssp126,-13.48,1.26,1.85,11.41,6.65,Atlantic,"Year: 2062
Mean change: 1.3%
SD: ±6.7%"
2062,ssp585,-7.97,-0.43,-1.65,9.64,5.21,Atlantic,"Year: 2062
Mean change: -0.4%
SD: ±5.2%"
2063,ssp126,-13.39,-2.74,-1.64,5.65,4.85,Atlantic,"Year: 2063
Mean change: -2.7%
SD: ±4.8%"
2063,ssp585,-8.42,-0.43,-0.25,10.87,5.22,Atlantic,"Year: 2063
Mean change: -0.4%
SD: ±5.2%"
2064,ssp126,-13.2,-2.03,-1.5,7.85,5.32,Atlantic,"Year: 2064
Mean change: -2%
SD: ±5.3%"
2064,ssp585,-9.2,-1.68,-2.78,11.97,5.81,Atlantic,"Year: 2064
Mean change: -1.7%
SD: ±5.8%"
2065,ssp126,-12.89,-0.67,-1.08,5.73,5.26,Atlantic,"Year: 2065
Mean change: -0.7%
SD: ±5.3%"
2065,ssp585,-10.09,-0.29,-0.47,8.8,5.83,Atlantic,"Year: 2065
Mean change: -0.3%
SD: ±5.8%"
2066,ssp126,-12.22,-1.44,-1.15,4.38,4.53,Atlantic,"Year: 2066
Mean change: -1.4%
SD: ±4.5%"
